"","POS_SALE_BRANCH","sumB","sumSLOPE","sumSIDING","sumWINDOW","sumOTHER","meanD","meanPD","risk","meanCL","percent_PD","percent_D","clusterNum","clusterNum"
"125",217,112826434.76,35978150.85,1717962.95,1944191.43,144795213.94,2386.29172190003,3451.05384424192,0,58014.8654667219,0.0030587280822822,0.00211501119128337,2,3
"126",218,27868796.63,4453976.47,5450063.89,562006.85,34819997.9,375.477572627502,622.2000910982,0,12004.1474169715,0.00223260479940644,0.00134730457727518,3,4
"127",219,20217991.58,1770579.11,4258241.74,2090833.87,24046674.24,1550.74672268908,1869.67116090881,0,10424.9673972923,0.00924756127981733,0.00767013239941747,3,4
"128",220,30702305.3,3276465.96,3607312.71,1533399.79,44336892.54,193.405625421281,498.729496389023,0,16549.7642089552,0.00162440406841053,0.000629938447720669,3,4
"129",221,156019.96,15651.29,38058.68,0,201791.07,0,-426.568333333333,1.5,6206.16666666667,-0.273406257336134,0,1,1
"130",223,79840056.57,4290130.09,35252127.77,2818315.24,75750974.78,298.75820655452,1405.35700690302,0,24023.088272904,0.00176021544482608,0.000374195885360606,4,2
"131",226,36892838.67,8759940.78,3325781.93,3585967.44,42136205.96,307.216842073392,676.027420976141,0,16689.4018802228,0.00183240825414138,0.000832727578437087,3,4
"132",228,42929435.52,11785952.63,946417.06,8063919.41,44155691.27,2278.43144476744,3279.93978633721,0,22489.8745610465,0.00764030494835915,0.00530738738389878,5,3
"133",231,37955232.85,4458908.78,2255454.66,1061830.27,60599440.7,341.5253125,718.737654684369,0,14462.5586773547,0.00189364575241795,0.000899810874167776,3,4
"134",233,101290612.43,14152383.74,14122079.86,2914096,140686495.26,866.189632651336,1871.72752282719,0,15633.113358556,0.00184787857228201,0.000855152922735009,6,2
"135",234,37504027.27,3455668.08,8917398.79,1941457.86,46587471.06,358.30419165137,643.310919844993,0,6844.41802535862,0.00171531157231103,0.000955375242962194,3,4
"136",235,39383608.42,3241649.25,6190935.67,3242094.78,52379316.67,74.7485259071548,258.51303337467,0,13671.2998506497,0.000656397531221111,0.000189796031663761,3,4
"137",240,103610421.16,17511558.84,24016441.03,4743290.04,115662263.57,629.023498900041,1266.68370582978,0,14007.2382448783,0.00122254469352432,0.000607104470629141,6,2
